Traceback (most recent call last):
  File "demo_detectron2_deepsort.py", line 6, in <module>
    import cv2
ModuleNotFoundError: No module named 'cv2'
[5m[31mWARNING[0m [32m[06/11 23:29:32 d2.config.compat]: [0mConfig 'detectron2/configs/COCO-InstanceSegmentation/mask_rcnn_R_101_FPN_3x.yaml' has no VERSION. Assuming it to be compatible with latest v2.
Loading weights from deep_sort/deep/checkpoint/ckpt.t7... Done!
time: 5.15117621421814s, fps: 0.19413041961946995
time: 5.085567474365234s, fps: 0.19663488982118305
time: 5.073187351226807s, fps: 0.19711473887479797
time: 4.82757043838501s, fps: 0.20714353374293484
time: 5.156511545181274s, fps: 0.19392955707322973
time: 5.391888618469238s, fps: 0.18546377174310044
time: 5.325757026672363s, fps: 0.1877667334412399
time: 5.1164562702178955s, fps: 0.19544777619244907
time: 5.128841161727905s, fps: 0.1949758178245279
time: 4.760392189025879s, fps: 0.21006672565871728
time: 4.870176076889038s, fps: 0.205331385192705
time: 5.185384273529053s, fps: 0.1928497382739627
time: 5.045649766921997s, fps: 0.19819052970258597
time: 5.538172245025635s, fps: 0.18056498710349722
time: 4.933454513549805s, fps: 0.20269772372553257
time: 4.95126748085022s, fps: 0.20196848662845465
time: 5.239931344985962s, fps: 0.19084219509037842
time: 5.754551649093628s, fps: 0.17377548434333806
time: 5.503983020782471s, fps: 0.18168660699426278
time: 5.178406715393066s, fps: 0.1931095904513354
time: 5.5135228633880615s, fps: 0.1813722414466419
time: 5.365876197814941s, fps: 0.18636285354612053
time: 4.719785928726196s, fps: 0.21187401613146592
time: 5.184603929519653s, fps: 0.19287876443295615
time: 4.651984214782715s, fps: 0.2149620363762795
time: 4.731532573699951s, fps: 0.211348011331141
time: 4.550958871841431s, fps: 0.21973391282162372
time: 4.665485620498657s, fps: 0.21433995972601835
time: 4.982661485671997s, fps: 0.20069595393457337
time: 4.845614910125732s, fps: 0.20637215679486431
time: 4.423725843429565s, fps: 0.2260537916212126
time: 5.056872844696045s, fps: 0.1977506713558876
time: 5.009507417678833s, fps: 0.1996204250483678
time: 5.163677215576172s, fps: 0.19366043969276617
time: 4.735714673995972s, fps: 0.21116137031883409
time: 4.925192594528198s, fps: 0.2030377453890803
time: 4.912680387496948s, fps: 0.2035548664116349
time: 4.898010730743408s, fps: 0.20416451799978447
time: 4.938562631607056s, fps: 0.2024880667909218
time: 5.032817840576172s, fps: 0.19869584627873538
time: 4.96912956237793s, fps: 0.20124248873910616
time: 4.681187629699707s, fps: 0.21362100370758882
time: 4.869986534118652s, fps: 0.20533937681225548
time: 4.750125885009766s, fps: 0.21052073654632084
time: 5.3848958015441895s, fps: 0.185704614695281
time: 4.946669816970825s, fps: 0.2021562054878299
time: 4.882632732391357s, fps: 0.20480754027760592
time: 5.0536627769470215s, fps: 0.19787628184485076
time: 5.117145299911499s, fps: 0.19542145891720036
time: 5.007030010223389s, fps: 0.19971919440430616
time: 4.967210531234741s, fps: 0.20132023672276714
time: 4.923257827758789s, fps: 0.20311753618949288
time: 5.259832143783569s, fps: 0.19012013552217036
time: 5.3547773361206055s, fps: 0.1867491283446108
time: 5.37104606628418s, fps: 0.18618347108905442
time: 5.097932577133179s, fps: 0.19615794929997873
time: 4.955401182174683s, fps: 0.20180000836201703
time: 5.132425308227539s, fps: 0.19483965960438804
time: 4.8226423263549805s, fps: 0.2073552074420194
time: 4.970349550247192s, fps: 0.20119309313975042
time: 5.878057241439819s, fps: 0.1701242364484106
time: 5.443836450576782s, fps: 0.1836939829252307
time: 5.4723265171051025s, fps: 0.18273763396139722
time: 4.950937032699585s, fps: 0.20198196692772974
time: 4.643407106399536s, fps: 0.21535910530476676
time: 5.513074159622192s, fps: 0.1813870031576955
time: 5.251591682434082s, fps: 0.19041845986329725
time: 5.121835231781006s, fps: 0.19524251654855987
time: 5.666799545288086s, fps: 0.17646645024377028
time: 4.916702747344971s, fps: 0.2033883379547405
time: 4.832477569580078s, fps: 0.20693319019107123
time: 4.6083762645721436s, fps: 0.216996170145157
time: 5.105423927307129s, fps: 0.19587012053031472
time: 4.836519718170166s, fps: 0.20676024461207756
time: 4.866146087646484s, fps: 0.20550143419217626
time: 4.983273983001709s, fps: 0.200671286269041
time: 5.159727334976196s, fps: 0.19380869086265648
time: 5.0487446784973145s, fps: 0.1980690376875298
time: 4.589173316955566s, fps: 0.21790416942966861
time: 4.864187955856323s, fps: 0.20558416103062643
time: 4.857038736343384s, fps: 0.20588676646067866
time: 5.2243499755859375s, fps: 0.19141137264408573
time: 4.885836362838745s, fps: 0.20467324849557278
time: 5.148495435714722s, fps: 0.19423150170495948
time: 5.021254301071167s, fps: 0.19915342662224325
time: 4.816440582275391s, fps: 0.20762220210501972
time: 5.018420457839966s, fps: 0.19926588622875596
time: 4.73296046257019s, fps: 0.21128424965903037
time: 5.033463954925537s, fps: 0.1986703409331941
time: 4.8575921058654785s, fps: 0.2058633121526431
time: 5.228431940078735s, fps: 0.19126193311123812
time: 4.991942644119263s, fps: 0.20032281444139705
time: 5.37233304977417s, fps: 0.18613886941391986
time: 4.864538669586182s, fps: 0.20556933923706858
time: 5.346585273742676s, fps: 0.18703526621207103
time: 4.545357704162598s, fps: 0.22000468721839186
time: 4.530777931213379s, fps: 0.22071264917020375
time: 5.100104808807373s, fps: 0.19607440189721193
time: 4.834548473358154s, fps: 0.20684454929156684
time: 5.3642449378967285s, fps: 0.1864195262478247
time: 4.769882678985596s, fps: 0.20964876230722485
time: 5.190006732940674s, fps: 0.19267797740088805
time: 4.704466104507446s, fps: 0.21256397172080363
time: 4.723291397094727s, fps: 0.2117167703468592
time: 4.911827087402344s, fps: 0.20359022868796822
time: 4.964519500732422s, fps: 0.2014293628723724
time: 4.9606969356536865s, fps: 0.20158457833067098
time: 5.114264249801636s, fps: 0.1955315468962689
time: 4.976288318634033s, fps: 0.2009529866377387
